TransactionID,CustomerID,TransactionDate,TransactionAmount,TransactionType,Currency,CounterpartyID,CounterpartyCountry,TransactionChannel,TransactionPurpose,FlagStatus
TRANS000077,CUST00214,2024-07-13,28961.35,Debit,USD,COUNTER8422,Paraguay,Branch,Personal,Yes
TRANS000078,CUST00712,2024-06-21,60565.32,Credit,GBP,COUNTER1944,Mauritania,Online,Personal,Yes
TRANS000079,CUST00438,2024-07-19,34287.22,Debit,USD,COUNTER2267,Saint Kitts and Nevis,Online,Investment,Yes
TRANS000080,CUST00685,2024-07-16,36708.11,Debit,JPY,COUNTER1415,American Samoa,ATM,Investment,Yes
TRANS000081,CUST00065,2024-09-05,83568.87,Transfer,GBP,COUNTER6604,Cook Islands,Online,Business,Yes
TRANS000082,CUST00111,2024-07-24,98527.92,Transfer,JPY,COUNTER3168,Belgium,Branch,Business,Yes
TRANS000083,CUST00388,2024-01-19,48208.71,Debit,JPY,COUNTER4480,Vanuatu,ATM,Business,Yes
TRANS000084,CUST00025,2024-07-17,48707.63,Debit,EUR,COUNTER5816,Cuba,ATM,Personal,Yes
TRANS000085,CUST00114,2024-04-06,19658.33,Transfer,JPY,COUNTER1648,Netherlands Antilles,Branch,Investment,Yes
TRANS000086,CUST00504,2024-10-11,67653.94,Transfer,GBP,COUNTER6416,Cook Islands,Branch,Business,Yes
TRANS000087,CUST00979,2024-01-05,10613.19,Credit,GBP,COUNTER5556,Sierra Leone,ATM,Investment,Yes
TRANS000088,CUST00593,2024-05-08,23213.27,Credit,USD,COUNTER2607,Costa Rica,Branch,Business,Yes
TRANS000089,CUST00907,2024-04-06,58743.36,Debit,GBP,COUNTER7139,Indonesia,ATM,Personal,Yes
TRANS000090,CUST00370,2024-05-11,37683.84,Transfer,USD,COUNTER7968,Nigeria,ATM,Business,Yes
TRANS000091,CUST00343,2024-05-07,97615.63,Transfer,EUR,COUNTER8272,Guinea-Bissau,Online,Personal,Yes
TRANS000092,CUST00101,2024-02-04,44802.02,Credit,USD,COUNTER4038,Norway,ATM,Investment,Yes
TRANS000093,CUST00057,2024-12-07,73994.71,Credit,EUR,COUNTER2362,Gibraltar,Branch,Investment,Yes
TRANS000094,CUST00335,2024-03-11,48041.79,Credit,GBP,COUNTER1484,Greece,Online,Business,Yes
TRANS000095,CUST00118,2024-01-17,10172.08,Debit,JPY,COUNTER7210,Iran,Branch,Business,Yes
TRANS000096,CUST00283,2024-06-28,60203.12,Transfer,USD,COUNTER4965,Tunisia,Branch,Business,Yes
TRANS000097,CUST00201,2024-06-29,66565.45,Transfer,USD,COUNTER9508,Solomon Islands,ATM,Investment,Yes
TRANS000098,CUST00006,2024-01-16,76330.29,Credit,USD,COUNTER2224,French Polynesia,Online,Investment,Yes
TRANS000099,CUST00371,2024-08-24,46083.99,Transfer,USD,COUNTER7617,Tajikistan,Online,Investment,Yes
TRANS000100,CUST00801,2024-12-07,89607.32,Transfer,JPY,COUNTER4040,India,ATM,Business,Yes
TRANS000101,CUST00167,2024-09-13,6613.77,Debit,USD,COUNTER8647,Argentina,ATM,Investment,No
TRANS000102,CUST00081,2024-03-21,94642.13,Debit,USD,COUNTER2846,Spain,Branch,Personal,Yes
TRANS000103,CUST00872,2024-11-21,66381.64,Credit,USD,COUNTER3045,Cape Verde,Online,Business,Yes
TRANS000104,CUST00383,2024-03-26,34278.33,Debit,JPY,COUNTER9144,Czech Republic,Branch,Personal,Yes
TRANS000105,CUST00062,2024-10-13,19296.94,Credit,JPY,COUNTER1175,Belize,ATM,Business,Yes
TRANS000106,CUST00554,2024-03-29,13655.71,Transfer,USD,COUNTER3293,United States Minor Outlying Islands,Branch,Investment,Yes
TRANS000107,CUST00701,2024-11-20,93172.67,Credit,USD,COUNTER9300,South Georgia and the South Sandwich Islands,Branch,Personal,Yes
TRANS000108,CUST00728,2024-08-10,24801.42,Credit,USD,COUNTER2353,Equatorial Guinea,Online,Investment,Yes
TRANS000109,CUST00628,2024-01-07,32713.49,Credit,GBP,COUNTER2871,Slovakia (Slovak Republic),ATM,Personal,Yes
TRANS000110,CUST00326,2024-07-19,22416.75,Credit,JPY,COUNTER2656,British Virgin Islands,Branch,Personal,Yes
TRANS000111,CUST00956,2024-02-17,66202.41,Transfer,GBP,COUNTER8830,Malta,Online,Investment,Yes
TRANS000112,CUST00184,2024-01-30,92542.07,Transfer,GBP,COUNTER3214,Germany,Online,Investment,Yes
TRANS000113,CUST00176,2024-06-26,69325.18,Debit,GBP,COUNTER5008,Bulgaria,ATM,Investment,Yes
TRANS000114,CUST00424,2024-08-10,28771.86,Debit,USD,COUNTER8807,Sweden,ATM,Personal,Yes
TRANS000115,CUST00697,2024-04-10,25947.3,Credit,JPY,COUNTER6045,Greenland,Branch,Business,Yes
TRANS000116,CUST00009,2024-10-29,10044.41,Transfer,EUR,COUNTER4930,Saint Martin,ATM,Personal,Yes
TRANS000117,CUST00672,2024-04-27,77738.42,Credit,EUR,COUNTER5180,Mauritania,Online,Business,Yes
TRANS000118,CUST00173,2024-04-20,56004.28,Credit,JPY,COUNTER7763,Estonia,ATM,Business,Yes
TRANS000119,CUST00954,2024-03-01,23164.14,Transfer,USD,COUNTER2526,South Africa,ATM,Business,Yes
TRANS000120,CUST00315,2024-01-25,91956.43,Debit,JPY,COUNTER6692,Reunion,ATM,Business,Yes
TRANS000121,CUST00408,2024-03-15,24887.83,Credit,GBP,COUNTER6250,Montenegro,Branch,Personal,Yes
TRANS000122,CUST00928,2024-11-14,31269.12,Debit,JPY,COUNTER2268,Saint Martin,Branch,Investment,Yes
TRANS000123,CUST00130,2024-03-05,84128.76,Transfer,USD,COUNTER7457,Saint Helena,Online,Personal,Yes
TRANS000124,CUST00304,2024-11-17,23085.3,Credit,JPY,COUNTER7871,Falkland Islands (Malvinas),ATM,Personal,Yes
TRANS000125,CUST00799,2024-03-26,69547.25,Credit,GBP,COUNTER1381,Guadeloupe,Online,Investment,Yes
TRANS000126,CUST00523,2024-03-23,59010.7,Credit,EUR,COUNTER4336,Tunisia,Online,Business,Yes
TRANS000127,CUST00800,2024-11-30,6391.5,Credit,JPY,COUNTER2094,China,Online,Business,No
TRANS000128,CUST00775,2024-03-11,13016.23,Debit,JPY,COUNTER7267,Saint Vincent and the Grenadines,Branch,Business,Yes
TRANS000129,CUST00898,2024-01-15,77377.81,Credit,USD,COUNTER4215,El Salvador,ATM,Personal,Yes
TRANS000130,CUST00781,2024-10-14,96015.78,Credit,GBP,COUNTER9567,Palau,Online,Investment,Yes
TRANS000131,CUST00309,2024-05-22,90562.85,Transfer,JPY,COUNTER4186,Central African Republic,ATM,Personal,Yes
TRANS000132,CUST00105,2024-03-06,81084.42,Credit,USD,COUNTER6232,El Salvador,ATM,Business,Yes
TRANS000133,CUST00698,2024-04-15,16535.28,Credit,USD,COUNTER4961,China,Branch,Investment,Yes
TRANS000134,CUST00662,2024-08-05,65694.63,Credit,GBP,COUNTER1585,French Guiana,Online,Personal,Yes
TRANS000135,CUST00447,2024-01-12,96727.78,Transfer,JPY,COUNTER6453,Hong Kong,Branch,Personal,Yes
TRANS000136,CUST00485,2024-03-05,59590.0,Credit,JPY,COUNTER8718,Dominica,Branch,Investment,Yes
TRANS000137,CUST00050,2024-07-17,94785.81,Credit,EUR,COUNTER8752,Marshall Islands,Branch,Business,Yes
TRANS000138,CUST00792,2024-11-08,75711.21,Credit,JPY,COUNTER6097,China,Online,Personal,Yes
TRANS000139,CUST00102,2024-06-25,45533.79,Transfer,USD,COUNTER5741,Gambia,Branch,Personal,Yes
TRANS000140,CUST00837,2024-09-30,86867.14,Transfer,EUR,COUNTER7334,Nepal,Online,Personal,Yes
TRANS000141,CUST00716,2024-07-28,11269.43,Credit,EUR,COUNTER3683,Uruguay,ATM,Business,Yes
TRANS000142,CUST00930,2024-03-08,56908.2,Credit,USD,COUNTER7318,Saint Pierre and Miquelon,Online,Business,Yes
TRANS000143,CUST00873,2024-10-14,26829.51,Debit,USD,COUNTER4393,Poland,ATM,Investment,Yes
TRANS000144,CUST00812,2024-07-27,66427.97,Debit,USD,COUNTER5077,Kiribati,Branch,Investment,Yes
TRANS000145,CUST00697,2024-04-20,83158.95,Credit,USD,COUNTER9378,Antigua and Barbuda,Online,Investment,Yes
TRANS000146,CUST00313,2024-05-16,3661.69,Credit,JPY,COUNTER7736,Lao People's Democratic Republic,Online,Business,No
TRANS000147,CUST00854,2024-01-22,95606.57,Credit,JPY,COUNTER3856,Japan,Online,Personal,Yes
TRANS000148,CUST00193,2024-10-25,54774.78,Transfer,GBP,COUNTER8179,Morocco,Online,Personal,Yes
TRANS000149,CUST00404,2024-11-09,47760.67,Debit,GBP,COUNTER7784,Suriname,Online,Investment,Yes
TRANS000150,CUST00670,2024-05-09,93554.0,Transfer,JPY,COUNTER7084,Jersey,Branch,Personal,Yes
TRANS000151,CUST00101,2024-04-20,14552.36,Transfer,GBP,COUNTER4608,Serbia,ATM,Investment,Yes
TRANS000152,CUST00696,2024-01-09,19252.51,Debit,EUR,COUNTER4300,Guatemala,Online,Business,Yes
TRANS000153,CUST00444,2024-10-28,25230.1,Transfer,EUR,COUNTER5184,Armenia,Branch,Business,Yes
TRANS000154,CUST00637,2024-02-14,61600.79,Credit,JPY,COUNTER5051,Micronesia,Online,Investment,Yes
TRANS000155,CUST00340,2024-05-11,7537.37,Debit,JPY,COUNTER3999,Western Sahara,ATM,Personal,No
TRANS000156,CUST00035,2024-01-03,44075.69,Credit,EUR,COUNTER9855,French Southern Territories,Branch,Investment,Yes
TRANS000157,CUST00779,2024-02-18,23352.47,Debit,USD,COUNTER4964,British Indian Ocean Territory (Chagos Archipelago),ATM,Personal,Yes
TRANS000158,CUST00523,2024-08-07,77805.52,Transfer,JPY,COUNTER6777,Chad,Branch,Business,Yes
TRANS000159,CUST00916,2024-11-10,82682.99,Credit,JPY,COUNTER5038,Hungary,Online,Personal,Yes
TRANS000160,CUST00528,2024-09-08,46836.98,Debit,USD,COUNTER9900,Norfolk Island,Branch,Investment,Yes
TRANS000161,CUST00063,2024-08-08,95220.51,Debit,USD,COUNTER5602,Singapore,Online,Investment,Yes
TRANS000162,CUST00602,2024-01-27,85941.71,Transfer,GBP,COUNTER7216,Guyana,Branch,Business,Yes
TRANS000163,CUST00588,2024-02-18,61287.29,Debit,USD,COUNTER2669,Chad,ATM,Business,Yes
TRANS000164,CUST00967,2024-04-05,74860.21,Credit,USD,COUNTER9393,Sudan,ATM,Investment,Yes
TRANS000165,CUST00599,2024-04-13,19002.49,Transfer,GBP,COUNTER8012,Turkmenistan,ATM,Business,Yes
TRANS000166,CUST00273,2024-07-27,39768.47,Debit,USD,COUNTER8093,Monaco,Branch,Investment,Yes
TRANS000167,CUST00262,2024-11-01,74418.56,Credit,EUR,COUNTER3514,Antigua and Barbuda,Branch,Business,Yes
TRANS000168,CUST00993,2024-02-17,63407.17,Transfer,GBP,COUNTER8450,Barbados,ATM,Business,Yes
TRANS000169,CUST00770,2024-06-23,4812.1,Debit,GBP,COUNTER6760,Liberia,Branch,Personal,No
TRANS000170,CUST00368,2024-06-18,1747.08,Credit,EUR,COUNTER2172,Cocos (Keeling) Islands,ATM,Business,No
TRANS000171,CUST00176,2024-04-30,73190.96,Credit,JPY,COUNTER6329,Dominican Republic,ATM,Investment,Yes
TRANS000172,CUST00355,2024-05-01,84526.21,Credit,JPY,COUNTER1030,Pitcairn Islands,Branch,Investment,Yes
TRANS000173,CUST00863,2024-06-07,74344.15,Credit,USD,COUNTER8690,Myanmar,Online,Personal,Yes
TRANS000174,CUST00513,2024-09-19,79551.73,Transfer,JPY,COUNTER6611,Luxembourg,ATM,Business,Yes
TRANS000175,CUST00566,2024-11-10,85722.9,Debit,EUR,COUNTER2111,Colombia,ATM,Business,Yes
TRANS000176,CUST00774,2024-04-28,65805.91,Credit,USD,COUNTER4334,Guinea-Bissau,ATM,Business,Yes
TRANS000177,CUST00690,2024-02-06,45947.77,Credit,USD,COUNTER9333,Aruba,Branch,Investment,Yes
TRANS000178,CUST00839,2024-04-22,57481.5,Transfer,USD,COUNTER3526,Philippines,ATM,Business,Yes
TRANS000179,CUST00402,2024-03-21,4149.54,Transfer,GBP,COUNTER7229,Bahamas,Online,Personal,No
TRANS000180,CUST00209,2024-04-28,85988.11,Debit,JPY,COUNTER3097,Albania,Branch,Investment,Yes
TRANS000181,CUST00923,2024-11-22,80554.66,Debit,GBP,COUNTER7878,Jersey,Branch,Business,Yes
TRANS000182,CUST00267,2024-06-22,78320.42,Debit,USD,COUNTER7690,Netherlands Antilles,Online,Business,Yes
TRANS000183,CUST00606,2024-01-18,45439.88,Debit,EUR,COUNTER3167,American Samoa,Online,Investment,Yes
TRANS000184,CUST00252,2024-09-23,75055.76,Debit,EUR,COUNTER5232,Mauritius,Branch,Investment,Yes
TRANS000185,CUST00914,2024-04-06,70291.55,Transfer,EUR,COUNTER5377,United Kingdom,ATM,Personal,Yes
TRANS000186,CUST00942,2024-10-29,22644.7,Debit,EUR,COUNTER1748,Turkmenistan,Branch,Investment,Yes
TRANS000187,CUST00309,2024-03-10,31188.38,Debit,GBP,COUNTER7504,Guatemala,ATM,Business,Yes
TRANS000188,CUST00127,2024-06-30,73.96,Credit,GBP,COUNTER2546,Guadeloupe,Branch,Personal,No
TRANS000189,CUST00223,2024-09-14,26886.28,Debit,JPY,COUNTER1621,Chad,Branch,Business,Yes
TRANS000190,CUST00994,2024-05-29,1416.07,Debit,USD,COUNTER8517,Cayman Islands,Branch,Business,No
TRANS000191,CUST00197,2024-06-23,33229.39,Debit,JPY,COUNTER1225,Belize,ATM,Business,Yes
TRANS000192,CUST00845,2024-01-18,92797.33,Debit,GBP,COUNTER5749,Tonga,Branch,Personal,Yes
TRANS000193,CUST00585,2024-06-28,22268.04,Transfer,USD,COUNTER4131,Norfolk Island,ATM,Business,Yes
TRANS000194,CUST00826,2024-04-06,800.65,Debit,JPY,COUNTER8165,Niger,ATM,Investment,No
TRANS000195,CUST00750,2024-11-07,13480.23,Credit,USD,COUNTER9507,Cayman Islands,Branch,Investment,Yes
TRANS000196,CUST00260,2024-09-08,68765.5,Transfer,GBP,COUNTER6313,United States Virgin Islands,ATM,Personal,Yes
TRANS000197,CUST00422,2024-07-30,85011.89,Credit,JPY,COUNTER4820,Canada,ATM,Personal,Yes
TRANS000198,CUST00139,2024-11-29,23620.83,Credit,EUR,COUNTER5661,Malawi,ATM,Personal,Yes
TRANS000199,CUST00575,2024-03-27,10044.04,Debit,GBP,COUNTER6317,Somalia,Online,Personal,Yes
TRANS000200,CUST00408,2024-08-11,72494.93,Transfer,EUR,COUNTER1351,Czech Republic,Branch,Business,Yes
TRANS000201,CUST00631,2024-05-12,22077.4,Debit,JPY,COUNTER5699,Morocco,Branch,Business,Yes
TRANS000202,CUST00447,2024-06-19,48688.04,Credit,GBP,COUNTER2102,Spain,Online,Business,Yes
TRANS000203,CUST00451,2024-02-28,71830.26,Debit,JPY,COUNTER6322,Wallis and Futuna,Branch,Personal,Yes
TRANS000204,CUST00814,2024-06-05,25293.89,Debit,USD,COUNTER8155,Saint Lucia,Online,Investment,Yes
TRANS000205,CUST00668,2024-10-01,16673.73,Transfer,USD,COUNTER9129,Andorra,ATM,Investment,Yes
TRANS000206,CUST00673,2024-06-13,79720.57,Debit,GBP,COUNTER9264,Faroe Islands,Branch,Investment,Yes
TRANS000207,CUST00751,2024-04-10,58006.07,Debit,GBP,COUNTER5547,Timor-Leste,Online,Investment,Yes
TRANS000208,CUST00044,2024-02-04,75324.7,Transfer,GBP,COUNTER2524,San Marino,Online,Business,Yes
TRANS000209,CUST00323,2024-08-18,13612.03,Transfer,JPY,COUNTER8436,Afghanistan,Branch,Investment,Yes
TRANS000210,CUST00083,2024-02-25,64861.27,Debit,EUR,COUNTER2125,Albania,ATM,Business,Yes
TRANS000211,CUST00478,2024-06-09,4938.14,Transfer,GBP,COUNTER9278,Haiti,ATM,Personal,No
TRANS000212,CUST00524,2024-06-02,28173.38,Transfer,GBP,COUNTER1131,Estonia,Branch,Personal,Yes
TRANS000213,CUST00876,2024-06-12,25293.4,Credit,GBP,COUNTER8347,Indonesia,ATM,Investment,Yes
TRANS000214,CUST00509,2024-09-29,29962.59,Debit,USD,COUNTER3161,Saint Helena,Online,Personal,Yes
TRANS000215,CUST00051,2024-03-13,80533.03,Debit,USD,COUNTER4235,Iceland,ATM,Investment,Yes
TRANS000216,CUST00201,2024-06-05,7716.48,Credit,GBP,COUNTER9754,Western Sahara,Branch,Investment,No
TRANS000217,CUST00558,2024-08-15,78687.3,Transfer,JPY,COUNTER3308,China,Branch,Personal,Yes
TRANS000218,CUST00668,2024-06-18,98298.6,Transfer,JPY,COUNTER4903,Honduras,ATM,Investment,Yes
TRANS000219,CUST00012,2024-11-16,9806.34,Debit,JPY,COUNTER6767,Saint Lucia,Branch,Business,No
TRANS000220,CUST00059,2024-10-17,4381.54,Transfer,USD,COUNTER9734,Iran,Online,Personal,No
TRANS000221,CUST00369,2024-07-06,33928.44,Credit,EUR,COUNTER5436,Dominican Republic,Online,Personal,Yes
TRANS000222,CUST00154,2024-08-04,35492.8,Credit,USD,COUNTER2293,Martinique,ATM,Investment,Yes
TRANS000223,CUST00842,2024-03-04,27338.68,Transfer,JPY,COUNTER6141,Libyan Arab Jamahiriya,Online,Business,Yes
TRANS000224,CUST00106,2024-11-11,96071.44,Transfer,EUR,COUNTER4420,Peru,Branch,Investment,Yes
TRANS000225,CUST00191,2024-01-11,12514.27,Transfer,GBP,COUNTER3333,Panama,Online,Business,Yes
TRANS000226,CUST00984,2024-03-01,73712.57,Credit,EUR,COUNTER4500,El Salvador,Branch,Personal,Yes
TRANS000227,CUST00391,2024-04-29,69899.22,Debit,GBP,COUNTER4589,Cayman Islands,Online,Personal,Yes
TRANS000228,CUST00137,2024-03-21,88124.34,Transfer,JPY,COUNTER1430,Congo,Branch,Business,Yes
TRANS000229,CUST00095,2024-11-27,42613.73,Transfer,USD,COUNTER7068,Cook Islands,ATM,Personal,Yes
TRANS000230,CUST00125,2024-07-19,9582.52,Debit,EUR,COUNTER3449,Tonga,Branch,Business,No
TRANS000231,CUST00468,2024-11-06,73263.15,Transfer,USD,COUNTER6425,Cameroon,ATM,Investment,Yes
TRANS000232,CUST00343,2024-06-28,18838.2,Debit,JPY,COUNTER8752,Dominican Republic,Online,Business,Yes
TRANS000233,CUST00821,2024-01-21,92981.01,Debit,JPY,COUNTER7500,Ukraine,Online,Personal,Yes
TRANS000234,CUST00406,2024-04-21,22039.57,Credit,GBP,COUNTER1226,United States Virgin Islands,Online,Business,Yes
TRANS000235,CUST00810,2024-09-16,55179.92,Credit,GBP,COUNTER1756,San Marino,Branch,Business,Yes
